"gid","SITE_CODE","SITE_NAME","Metro_ID","LAT","LON","date_time","sample_utc_offset","value","unit","parameter","method","mdl","pql","matrix","lab_batch","qualifier","dup"
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2017-10-04 11:30:00",7,,"mg/L      ","Dissolved Oxygen","DO-OPTICAL",0,0,"Water","TC Env Health files","FD ",0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2018-10-16 23:00:00",7,,"mg/L      ","Total Phosphorus","EPA365.1",0,0,"Water","See TC Env Health files","FD ",0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2018-09-12 07:00:00",7,,"mg/L      ","Dissolved Oxygen","DO-OPTICAL",0,0,"Water","TC Env Health files","FD ",0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2018-09-12 00:00:00",8,,"#cfu/100ml","Fecal Coliform","SM9222D",0,0,"Water","","FD ",0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2018-09-11 23:00:00",7,,"C         ","Temperature, water","TEMPTHERM",0,0,"Water","See TC Env Health files","FD ",0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2018-09-11 23:00:00",7,,"Std. Units","pH","PHMETER",0,0,"Water","","FD ",0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2018-09-11 23:00:00",7,,"mg/L      ","Total Phosphorus","EPA365.1",0,0,"Water","See TC Env Health files","FD ",0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2018-09-11 23:00:00",7,,"FNU       ","Turbidity","TURB-YSI EXO Smart Sensor",0,0,"Water"," See TC Env Health files","FD ",0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2018-08-08 09:30:00",7,,"mg/L      ","Dissolved Oxygen","DO-OPTICAL",0,0,"Water","TC Env Health files","FD ",0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2018-08-08 00:00:00",8,,"#cfu/100ml","Fecal Coliform","SM9222D",0,0,"Water","","FD ",0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2018-08-07 23:00:00",7,,"C         ","Temperature, water","TEMPTHERM",0,0,"Water","See TC Env Health files","FD ",0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2018-08-07 23:00:00",7,,"Std. Units","pH","PHMETER",0,0,"Water","","FD ",0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2018-08-07 23:00:00",7,,"mg/L      ","Total Phosphorus","EPA365.1",0,0,"Water","See TC Env Health files","FD ",0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2018-08-07 23:00:00",7,,"FNU       ","Turbidity","TURB-YSI EXO Smart Sensor",0,0,"Water"," See TC Env Health files","FD ",0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2018-07-11 11:46:00",8,"25","#cfu/100ml","Fecal Coliform","SM9222D",0,0,"Water","","   ",0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2018-07-11 11:46:00",8,"30","#cfu/100ml","Fecal Coliform","SM9222D",0,0,"Water","","   ",1
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2018-07-11 10:46:00",7,"18.461399","C         ","Temperature, water","TEMPTHERM",0,0,"Water","See TC Env Health files","   ",0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2018-07-11 10:46:00",7,"7.83","Std. Units","pH","PHMETER",0,0,"Water","","   ",0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2018-07-11 10:46:00",7,"0.028894","mg/L      ","Total Phosphorus","EPA365.1",0,0,"Water","See TC Env Health files","   ",1
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2018-07-11 10:46:00",7,"0.029057","mg/L      ","Total Phosphorus","EPA365.1",0,0,"Water","See TC Env Health files","   ",0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2018-07-11 10:46:00",7,"0.524","FNU       ","Turbidity","TURB-YSI EXO Smart Sensor",0,0,"Water"," See TC Env Health files","   ",0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2018-07-11 10:46:00",7,"9.737667","mg/L      ","Dissolved Oxygen","DO-OPTICAL",0,0,"Water","TC Env Health files","   ",0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2018-06-13 14:47:00",8,"23","#cfu/100ml","Fecal Coliform","SM9222D",0,0,"Water","","   ",0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2018-06-13 13:47:00",7,"16.157822","C         ","Temperature, water","TEMPTHERM",0,0,"Water","See TC Env Health files","   ",0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2018-06-13 13:47:00",7,"8.114643","Std. Units","pH","PHMETER",0,0,"Water","","   ",0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2018-06-13 13:47:00",7,"0.0285","mg/L      ","Total Phosphorus","EPA365.1",0,0,"Water","See TC Env Health files","   ",0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2018-06-13 13:47:00",7,"0.925","FNU       ","Turbidity","TURB-YSI EXO Smart Sensor",0,0,"Water"," See TC Env Health files","   ",0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2018-06-13 13:47:00",7,"10.61","mg/L      ","Dissolved Oxygen","DO-OPTICAL",0,0,"Water","TC Env Health files","   ",0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2018-05-16 13:49:00",8,"10","#cfu/100ml","Fecal Coliform","SM9222D",0,0,"Water","","   ",0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2018-05-16 12:49:00",7,"14.91825","C         ","Temperature, water","TEMPTHERM",0,0,"Water","See TC Env Health files","   ",0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2018-05-16 12:49:00",7,"8.29","Std. Units","pH","PHMETER",0,0,"Water","","   ",0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2018-05-16 12:49:00",7,"0.033863","mg/L      ","Total Phosphorus","EPA365.1",0,0,"Water","See TC Env Health files","   ",0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2018-05-16 12:49:00",7,,"FNU       ","Turbidity","TURB-YSI EXO Smart Sensor",0,0,"Water"," See TC Env Health files","FE ",0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2018-05-16 12:49:00",7,"11.969559","mg/L      ","Dissolved Oxygen","DO-OPTICAL",0,0,"Water","TC Env Health files","   ",0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2018-04-11 15:41:00",8,"25","#cfu/100ml","Fecal Coliform","SM9222D",0,0,"Water","","   ",0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2018-04-11 14:41:00",7,"11.649","C         ","Temperature, water","TEMPTHERM",0,0,"Water","See TC Env Health files","   ",0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2018-04-11 14:41:00",7,"7.111333","Std. Units","pH","PHMETER",0,0,"Water","","   ",0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2018-04-11 14:41:00",7,"0.053137","mg/L      ","Total Phosphorus","EPA365.1",0,0,"Water","See TC Env Health files","   ",0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2018-04-11 14:41:00",7,"5.117333","FNU       ","Turbidity","TURB-YSI EXO Smart Sensor",0,0,"Water"," See TC Env Health files","   ",0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2018-04-11 14:41:00",7,"10.33","mg/L      ","Dissolved Oxygen","DO-OPTICAL",0,0,"Water","TC Env Health files","   ",0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2018-03-17 11:15:00",7,"7.092","C         ","Temperature, water","TEMPTHERM",0,0,"Water","See TC Env Health files","   ",0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2018-03-17 11:15:00",7,"7.32","Std. Units","pH","PHMETER",0,0,"Water","","   ",0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2018-03-07 12:15:00",8,"0.047014","mg/L      ","Total Phosphorus","EPA353.2",0,0,"Water","See TC Env Health files","   ",0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2018-03-07 12:15:00",8,"2.41","FNU       ","Turbidity","TURB-YSI EXO Smart Sensor",0,0,"Water"," See TC Env Health files","   ",0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2018-03-07 12:15:00",8,"11.95","mg/L      ","Dissolved Oxygen","DO-OPTICAL",0,0,"Water","TC Env Health files","   ",0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2018-02-14 15:00:00",8,"7.25","C         ","Temperature, water","TEMPTHERM",0,0,"Water","See TC Env Health files","   ",0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2018-02-14 15:00:00",8,"1.2","FNU       ","Turbidity","TURBM",0,0,"Water","","K  ",0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2018-02-14 15:00:00",8,"0.046419","mg/L      ","Total Phosphorus","EPA353.2",0,0,"Water","See TC Env Health files","   ",0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2018-02-14 15:00:00",8,"7.24","Std. Units","pH","PHMETER",0,0,"Water","See TC Env Health files","K  ",0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2018-02-14 15:00:00",8,"1.2","FNU       ","Turbidity","TURB-YSI EXO Smart Sensor",0,0,"Water"," See TC Env Health files","K  ",0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2018-02-14 15:00:00",8,"11.5","mg/L      ","Dissolved Oxygen","DO-OPTICAL",0,0,"Water","TC Env Health files","K  ",0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2018-02-14 15:00:00",8,"10","#cfu/100ml","Fecal Coliform","SM9222D",0,0,"Water","","   ",0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2018-01-10 14:45:00",8,"7.2","C         ","Temperature, water","TEMPTHERM",0,0,"Water","See TC Env Health files","   ",0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2018-01-10 14:45:00",8,"0.95","FNU       ","Turbidity","TURBM",0,0,"Water","","K  ",0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2018-01-10 14:45:00",8,"0.031348","mg/L      ","Total Phosphorus","EPA353.2",0,0,"Water","See TC Env Health files","   ",0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2018-01-10 14:45:00",8,"10.9","Std. Units","pH","PHMETER",0,0,"Water","See TC Env Health files","   ",0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2018-01-10 14:45:00",8,"0.95","FNU       ","Turbidity","TURB-YSI EXO Smart Sensor",0,0,"Water"," See TC Env Health files","K  ",0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2018-01-10 14:45:00",8,"7.08","mg/L      ","Dissolved Oxygen","DO-OPTICAL",0,0,"Water","TC Env Health files","K  ",0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2018-01-10 14:45:00",8,"10","#cfu/100ml","Fecal Coliform","SM9222D",0,0,"Water","","   ",0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2017-12-13 13:30:00",8,"4.488461","C         ","Temperature, water","TEMPTHERM",0,0,"Water","See TC Env Health files","   ",0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2017-12-13 13:30:00",8,"0.029796","mg/L      ","Total Phosphorus","EPA353.2",0,0,"Water","See TC Env Health files","   ",0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2017-12-13 13:30:00",8,"7.28","Std. Units","pH","PHMETER",0,0,"Water","See TC Env Health files","K  ",0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2017-12-13 13:30:00",8,"12.36","mg/L      ","Dissolved Oxygen","DO-OPTICAL",0,0,"Water","TC Env Health files","   ",0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2017-12-13 13:30:00",8,"5","#cfu/100ml","Fecal Coliform","SM9222D",0,0,"Water","","   ",0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2017-11-15 15:15:00",8,"8.483631","C         ","Temperature, water","TEMPTHERM",0,0,"Water","See TC Env Health files","   ",0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2017-11-15 15:15:00",8,"1.75515","FNU       ","Turbidity","TURBM",0,0,"Water","","EST",0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2017-11-15 15:15:00",8,"0.091194","mg/L      ","Total Phosphorus","EPA353.2",0,0,"Water","See TC Env Health files","   ",0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2017-11-15 15:15:00",8,"7.222704","Std. Units","pH","PHMETER",0,0,"Water","See TC Env Health files","   ",0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2017-03-15 12:45:00",8,"10.13","C         ","Temperature, water","External_files",,,"Water","See TC Env Health files",,0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2017-03-15 12:45:00",8,"7.9","Std. Units","pH","External_files",,,"Water","See TC Env Health files",,0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2017-03-15 12:45:00",8,"1.98","NTU or FNU","Turbidity","External_files",,,"Water","See TC Env Health files",,0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2017-03-15 12:45:00",8,"45","#cfu/100ml","Fecal Coliform","External_files",,,"Water","See TC Env Health files",,0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2017-03-15 12:45:00",8,"7.89","mg/L      ","Dissolved Oxygen","External_files",,,"Water","See TC Env Health files",,0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2017-02-15 13:00:00",8,"1.44","NTU or FNU","Turbidity","External_files",,,"Water","See TC Env Health files",,0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2017-02-15 13:00:00",8,"20","#cfu/100ml","Fecal Coliform","External_files",,,"Water","See TC Env Health files",,0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2017-02-15 13:00:00",8,"0.024","mg/L      ","Total Phosphorus","External_files",,,"Water","See TC Env Health files",,0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2017-02-15 13:00:00",8,"7.1","Std. Units","pH","External_files",,,"Water","See TC Env Health files",,0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2017-02-15 13:00:00",8,"10.66","mg/L      ","Dissolved Oxygen","External_files",,,"Water","See TC Env Health files",,0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2017-02-15 13:00:00",8,"7.34","C         ","Temperature, water","External_files",,,"Water","See TC Env Health files",,0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2017-02-15 13:00:00",8,"1.11","mg/L      ","Nitrate-Nitrite as N","External_files",,,"Water","See TC Env Health files",,0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2017-01-09 14:20:00",8,"0.033","mg/L      ","Total Phosphorus","External_files",,,"Water","See TC Env Health files",,0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2017-01-09 14:20:00",8,"0.73","NTU or FNU","Turbidity","External_files",,,"Water","See TC Env Health files",,0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2017-01-09 14:20:00",8,"8","#cfu/100ml","Fecal Coliform","External_files",,,"Water","See TC Env Health files",,0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2017-01-09 14:20:00",8,"12.03","mg/L      ","Dissolved Oxygen","External_files",,,"Water","See TC Env Health files",,0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2017-01-09 14:20:00",8,"7.3","Std. Units","pH","External_files",,,"Water","See TC Env Health files",,0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2017-01-09 14:20:00",8,"4.46","C         ","Temperature, water","External_files",,,"Water","See TC Env Health files",,0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2017-01-09 14:20:00",8,"1.45","mg/L      ","Nitrate-Nitrite as N","External_files",,,"Water","See TC Env Health files",,0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2017-01-09 14:20:00",8,"65.459999","cfs       ","Flow","External_files",0,0,"Water","See TC Env Health files","   ",0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2016-12-14 12:00:00",8,"0.044","mg/L      ","Total Phosphorus","External_files",,,"Water","See TC Env Health files",,0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2016-12-14 12:00:00",8,"11.6","mg/L      ","Dissolved Oxygen","External_files",,,"Water","See TC Env Health files",,0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2016-12-14 12:00:00",8,"1.12","NTU or FNU","Turbidity","External_files",,,"Water","See TC Env Health files",,0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2016-12-14 12:00:00",8,"20","#cfu/100ml","Fecal Coliform","External_files",,,"Water","See TC Env Health files",,0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2016-12-14 12:00:00",8,"7.1","Std. Units","pH","External_files",,,"Water","See TC Env Health files",,0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2016-12-14 12:00:00",8,"4.65","C         ","Temperature, water","External_files",,,"Water","See TC Env Health files",,0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2016-12-14 12:00:00",8,"0.058","mg/L      ","Nitrate-Nitrite as N","External_files",,,"Water","See TC Env Health files",,0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2016-11-09 10:45:00",8,"10.04","mg/L      ","Dissolved Oxygen","External_files",,,"Water","See TC Env Health files",,0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2016-11-09 10:45:00",8,"0.044","mg/L      ","Total Phosphorus","External_files",,,"Water","See TC Env Health files",,0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2016-11-09 10:45:00",8,"0.21","NTU or FNU","Turbidity","External_files",,,"Water","See TC Env Health files",,0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2016-11-09 10:45:00",8,"290","#cfu/100ml","Fecal Coliform","External_files",,,"Water","See TC Env Health files",,0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2016-11-09 10:45:00",8,"7.3","Std. Units","pH","External_files",,,"Water","See TC Env Health files",,0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2016-11-09 10:45:00",8,"11.965","C         ","Temperature, water","External_files",,,"Water","See TC Env Health files",,0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2016-11-09 10:45:00",8,"0.058","mg/L      ","Nitrate-Nitrite as N","External_files",,,"Water","See TC Env Health files",,0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2016-11-09 10:45:00",8,"1.07","cfs       ","Flow","External_files",0,0,"Water","See TC Env Health files","J  ",0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2016-06-08 12:15:00",8,"0.018","mg/L      ","Nitrate-Nitrite as N","External_files",,,"Water","See TC Env Health files",,0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2016-06-08 12:15:00",8,"0.027","mg/L      ","Total Phosphorus","External_files",,,"Water","See TC Env Health files",,0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2016-06-08 12:15:00",8,"11.53","mg/L      ","Dissolved Oxygen","External_files",,,"Water","See TC Env Health files",,0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2016-06-08 12:15:00",8,"0.4","NTU or FNU","Turbidity","External_files",,,"Water","See TC Env Health files",,0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2016-06-08 12:15:00",8,"72","#cfu/100ml","Fecal Coliform","External_files",,,"Water","See TC Env Health files",,0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2016-06-08 12:15:00",8,"19.41","C         ","Temperature, water","External_files",,,"Water","See TC Env Health files",,0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2016-06-08 12:15:00",8,"9","Std. Units","pH","External_files",,,"Water","See TC Env Health files",,0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2016-06-08 12:15:00",8,"4.73","cfs       ","Flow","External_files",0,0,"Water","See TC Env Health files","J  ",0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2016-05-17 13:00:00",8,"1.46","mg/L      ","Nitrate-Nitrite as N","External_files",,,"Water","See TC Env Health files",,0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2016-05-17 13:00:00",8,"15.2","C         ","Temperature, water","External_files",,,"Water","See TC Env Health files",,0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2016-05-17 13:00:00",8,"7.8","Std. Units","pH","External_files",,,"Water","See TC Env Health files",,0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2016-05-17 13:00:00",8,"10.99","mg/L      ","Dissolved Oxygen","External_files",,,"Water","See TC Env Health files",,0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2016-05-17 13:00:00",8,"0.035","mg/L      ","Total Phosphorus","External_files",,,"Water","See TC Env Health files",,0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2016-05-17 13:00:00",8,"0.6","NTU or FNU","Turbidity","External_files",,,"Water","See TC Env Health files",,0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2016-05-17 13:00:00",8,"25","#cfu/100ml","Fecal Coliform","External_files",,,"Water","See TC Env Health files",,0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2016-05-17 13:00:00",8,"12.34","cfs       ","Flow","External_files",0,0,"Water","See TC Env Health files","J  ",0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2016-04-13 12:00:00",8,"0.034","mg/L      ","Total Phosphorus","External_files",,,"Water","See TC Env Health files",,0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2016-04-13 12:00:00",8,"1.14","mg/L      ","Nitrate-Nitrite as N","External_files",,,"Water","See TC Env Health files",,0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2016-04-13 12:00:00",8,"1.2","NTU or FNU","Turbidity","External_files",,,"Water","See TC Env Health files",,0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2016-04-13 12:00:00",8,"10","#cfu/100ml","Fecal Coliform","External_files",,,"Water","See TC Env Health files",,0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2016-04-13 12:00:00",8,"7.5","Std. Units","pH","External_files",,,"Water","See TC Env Health files",,0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2016-04-13 12:00:00",8,"12.42","mg/L      ","Dissolved Oxygen","External_files",,,"Water","See TC Env Health files",,0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2016-04-13 12:00:00",8,"10.69","C         ","Temperature, water","External_files",,,"Water","See TC Env Health files",,0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2016-04-13 12:00:00",8,"56.049999","cfs       ","Flow","External_files",0,0,"Water","See TC Env Health files","J  ",0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2016-03-08 11:50:00",8,"7.1","Std. Units","pH","External_files",,,"Water","See TC Env Health files",,0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2016-03-08 11:50:00",8,"11.22","mg/L      ","Dissolved Oxygen","External_files",,,"Water","See TC Env Health files",,0
991,"55a","Scatter Creek @ James Rd.","GAGE0048","46.80698","-123.07228","2016-03-08 11:50:00",8,"8.68","C         ","Temperature, water","External_files",,,"Water","See TC Env Health files",,0
